Name,ACT Median,SAT Average,Average Cost,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,Average Family Income,Median Family Income,Admission Rate
Dickinson State University,21,965,13314,13000,20362,8750,53071.16,47245.5,0.4868
Dillard University,19,884,25343,20000,32925,12250,44677.8,31979,0.3544
Doane College-Crete,24,1077,36370,18624,22529,14027,64588.47,56267,0.7173
Dominican College of Blauvelt,21,899,35825,19000,29250,10250,65972.18,50370,0.7189
Dominican University,22,1031,36307,18656,25000,11000,70505.27,58497.5,0.5997
Dominican University of California,23,1057,56165,25222,27000,14000,73265.64,54367,0.7752
Dordt College,25,1119,37080,19500,24000,8110,82944.11,74121,0.7542
Dowling College,0,0,39399,19250,25000,12500,69754.83,51876,0.7828
Drake University,28,1240,42477,21500,25000,12000,97812.93,88132.5,0.6595
Drew University,25,1109,56932,25000,27000,9500,108375.38,94248,0.7743
Drexel University,27,1197,53831,17027.5,26098,10873,84469.63,69348,0.815
Drury University,25,1146,32556,16000,23500,10000,44503.69,31562.5,0.8095
Duke University,32,1444,59528,6569,6500,7000,92670.02,73265,0.1342
Duquesne University,25,1122,42280,25500,27000,12000,90458.69,81511,0.7409
D'Youville College,23,1047,32741,20325,26000,12500,51654.16,37451,0.7908
Earlham College,29,1262,50930,21197,27000,11000,94178.23,79944,0.637
East Carolina University,23,1050,19851,18500,23775.5,11000,65286.33,53731,0.6217
East Central University,21,969,13735,12449,19500,9287,37633.71,27762,0.9814
East Stroudsburg University of Pennsylvania,20,946,20282,16750,23955,12000,81363.98,76873.5,0.7844
East Tennessee State University,22,1026,22485,14250,20259,10500,49111.05,36276,0.8649
East Texas Baptist University,20,957,30172,11411,23321,9000,63936.79,52871,0.7362
Eastern Connecticut State University,22,1017,22633,17500,23000,10247.5,81834.42,76549,0.6453
Eastern Illinois University,22,1010,23346,18750,23767,11467,75174.62,69586,0.6191
Eastern Kentucky University,22,1009,17801,14921.5,23179.5,9766.5,53226.68,40016,0.6002
Eastern Mennonite University,22,999,38009,14926,22348,10749,77305.35,66842,0.6505
Eastern Michigan University,22,1011,18905,19114.5,26000,14000,64529.91,52069,0.6398
Eastern New Mexico University-Main Campus,20,932,15021,9436,16166,7500,32978.68,24637,0.6321
Eastern Oregon University,0,935,18959,14820,22500,12175.5,47863.56,38491,0.67
Eastern University,21,1041,39764,20927,26181.5,14311.5,76532.53,70417,0.6409
Eastern Washington University,21,970,19831,15265,20500,11666,55129.84,43755.5,0.7967
Eckerd College,26,1138,49802,23000,27000,20500,88787.07,71700,0.7104
Edgewood College,23,1050,35645,20568,26975,12000,74441.92,63152,0.7656
Edinboro University of Pennsylvania,20,930,19886,18750,27000,10250,58219.63,51587,0.8735
Elizabeth City State University,17,849,10620,18137,24886,12692,36585.54,26308,0.5715
Elizabethtown College,25,1117,47390,23872.5,27000,7052,97288.84,90303,0.6957
Elmhurst College,24,1084,41472,18791.5,23250,9500,78522.59,67472.5,0.718
Elmira College,24,1060,50608,21500,27000,8252,83550.66,73671,0.7978
Elon University,25,1200,41679,20500,24500,19000,118353.3,104953,0.5398
Embry-Riddle Aeronautical University-Daytona Beach,24,1105,45648,16500,26000,11750,71628,52839,0.7405
Embry-Riddle Aeronautical University-Prescott,26,1171,45228,16500,26000,11750,71628,52839,0.7898
Embry-Riddle Aeronautical University-Worldwide,0,0,20932,16500,26000,11750,71628,52839,0.9944
Emerson College,28,1240,51158,21500,23312,8750,108523.09,94808,0.4798
Emmanuel College,24,1090,49487,24250,27000,11250,91299.92,81534,0.6049
Emory University,31,1363,58180,19000,19500,12000,95403.45,64962,0.2633
Emporia State University,22,1030,15612,14000,21000,9500,60261.55,54559,0.6069
Endicott College,23,1070,44177,23250,27000,6500,112351.07,109499.5,0.7165
Evangel University,23,1046,30988,16000,22975,10803.5,67444.26,58776,0.6425
Everglades University,0,0,27322,27332,44974,10500,44637.68,31989,0.9104
Fairfield University,0,0,56628,24000,26778,6750,131692.71,116850,0.7116
Fairleigh Dickinson University-College at Florham,0,1020,51159,18750,25000,11000,76470.17,57373,0.7774
Fairleigh Dickinson University-Metropolitan Campus,0,985,43227,18750,25000,11000,76470.17,57373,0.7341
Fairmont State University,21,965,14710,14210,23478,10500,45075.59,36183,0.6649
Farmingdale State College,21,969,15258,11000,15393,10000,60549.91,44234,0.5264
Fayetteville State University,18,851,13188,17003.5,21232,13043,35071.6,26610.5,0.5496
Felician College,19,877,41750,20834,25000,16067.5,64996.12,48610,0.8819
Ferris State University,22,1010,21498,17562,25522,11250,67189.85,59172,0.759
Ferrum College,17,868,38620,11250,30920,10250,63285.28,52888,0.7411
Fitchburg State University,20,987,17686,15529.5,21750,8750,75368.32,70609.5,0.7211
Flagler College-St Augustine,23,1096,28305,16500,23638,7500,72203.48,61140,0.4987
Florida Agricultural and Mechanical University,20,947,19191,20750,27274.5,15500,46236.87,33649,0.45
Florida Atlantic University,22,1039,19131,12500,17250,9500,46536.36,32086,0.4773
Florida Gulf Coast University,22,1024,18097,11625,18500,8250,62264.97,46981,0.6579
Florida Institute of Technology,26,1153,52490,8509,26158,7227,87401.79,73416.5,0.6045
Florida International University,26,1154,18426,13750,17750,10500,38171.07,27626,0.4304
Florida Memorial University,0,0,25036,23750,44500,19000,29533.62,21893.5,0.4159
Florida Southern College,25,1102,38413,18375,25000,9500,68962.06,56919.5,0.4989
